datetime,TEC,latitude,longitude
2026-05-22 00:05:00,41.538246,-8.75,177.5
2026-05-22 00:15:00,41.525894,-8.75,177.5
2026-05-22 00:25:00,42.029167,-8.75,177.5
2026-05-22 00:35:00,42.083687,-8.75,177.5
2026-05-22 00:45:00,42.426342,-8.75,177.5
2026-05-22 00:55:00,42.897667,-8.75,177.5
2026-05-22 01:05:00,43.9628,-8.75,177.5
2026-05-22 01:15:00,45.73094,-8.75,177.5
2026-05-22 01:25:00,47.18791,-8.75,177.5
2026-05-22 01:35:00,48.414024,-8.75,177.5
2026-05-22 01:45:00,49.489502,-8.75,177.5
2026-05-22 01:55:00,49.845547,-8.75,177.5
2026-05-22 02:05:00,50.22851,-8.75,177.5
2026-05-22 02:15:00,50.375465,-8.75,177.5
2026-05-22 02:25:00,50.827656,-8.75,177.5
2026-05-22 02:35:00,51.244984,-8.75,177.5
2026-05-22 02:45:00,52.29643,-8.75,177.5
2026-05-22 02:55:00,53.10927,-8.75,177.5
2026-05-22 03:05:00,52.89632,-8.75,177.5
2026-05-22 03:15:00,53.03473,-8.75,177.5
2026-05-22 03:25:00,53.32973,-8.75,177.5
2026-05-22 03:35:00,53.391888,-8.75,177.5
2026-05-22 03:45:00,53.57049,-8.75,177.5
2026-05-22 03:55:00,53.334507,-8.75,177.5
2026-05-22 04:05:00,53.422344,-8.75,177.5
2026-05-22 04:15:00,54.285927,-8.75,177.5
2026-05-22 04:25:00,55.08412,-8.75,177.5
2026-05-22 04:35:00,54.270042,-8.75,177.5
2026-05-22 04:45:00,52.47583,-8.75,177.5
2026-05-22 04:55:00,51.872395,-8.75,177.5
2026-05-22 05:05:00,51.01787,-8.75,177.5
2026-05-22 05:15:00,52.164803,-8.75,177.5
2026-05-22 05:25:00,51.629547,-8.75,177.5
2026-05-22 05:35:00,50.176586,-8.75,177.5
2026-05-22 05:45:00,48.892826,-8.75,177.5
2026-05-22 05:55:00,48.45958,-8.75,177.5
2026-05-22 06:05:00,48.160477,-8.75,177.5
2026-05-22 06:15:00,47.739372,-8.75,177.5
2026-05-22 06:25:00,47.13616,-8.75,177.5
2026-05-22 06:35:00,46.91635,-8.75,177.5
2026-05-22 06:45:00,46.385662,-8.75,177.5
2026-05-22 06:55:00,45.326546,-8.75,177.5
2026-05-22 07:05:00,44.44446,-8.75,177.5
2026-05-22 07:15:00,43.539803,-8.75,177.5
2026-05-22 07:25:00,43.63048,-8.75,177.5
2026-05-22 07:35:00,43.38243,-8.75,177.5
2026-05-22 07:45:00,42.222218,-8.75,177.5
2026-05-22 07:55:00,41.402084,-8.75,177.5
2026-05-22 08:05:00,40.342693,-8.75,177.5
2026-05-22 08:15:00,39.377083,-8.75,177.5
2026-05-22 08:25:00,38.461815,-8.75,177.5
2026-05-22 08:35:00,37.894463,-8.75,177.5
2026-05-22 08:45:00,37.092957,-8.75,177.5
2026-05-22 08:55:00,36.33875,-8.75,177.5
2026-05-22 09:05:00,36.056007,-8.75,177.5
2026-05-22 09:15:00,35.497208,-8.75,177.5
2026-05-22 09:25:00,35.057796,-8.75,177.5
2026-05-22 09:35:00,34.641388,-8.75,177.5
2026-05-22 09:45:00,33.678726,-8.75,177.5
2026-05-22 09:55:00,32.881905,-8.75,177.5
2026-05-22 10:05:00,32.50025,-8.75,177.5
2026-05-22 10:15:00,32.587605,-8.75,177.5
2026-05-22 10:25:00,32.466393,-8.75,177.5
2026-05-22 10:35:00,32.139618,-8.75,177.5
2026-05-22 10:45:00,31.268715,-8.75,177.5
2026-05-22 10:55:00,29.151865,-8.75,177.5
2026-05-22 11:05:00,28.48906,-8.75,177.5
2026-05-22 11:15:00,27.844854,-8.75,177.5
2026-05-22 11:25:00,26.628088,-8.75,177.5
2026-05-22 11:35:00,24.938414,-8.75,177.5
2026-05-22 11:45:00,23.507772,-8.75,177.5
2026-05-22 11:55:00,22.449793,-8.75,177.5
2026-05-22 12:05:00,21.663445,-8.75,177.5
2026-05-22 12:15:00,20.855436,-8.75,177.5
2026-05-22 12:25:00,19.955788,-8.75,177.5
2026-05-22 12:35:00,19.148216,-8.75,177.5
2026-05-22 12:45:00,18.21441,-8.75,177.5
2026-05-22 12:55:00,18.070349,-8.75,177.5
2026-05-22 13:05:00,18.90311,-8.75,177.5
2026-05-22 13:15:00,18.555853,-8.75,177.5
2026-05-22 13:25:00,18.008995,-8.75,177.5
2026-05-22 13:35:00,16.859104,-8.75,177.5
2026-05-22 13:45:00,16.892553,-8.75,177.5
2026-05-22 13:55:00,16.94966,-8.75,177.5
2026-05-22 14:05:00,16.967487,-8.75,177.5
2026-05-22 14:15:00,16.2094,-8.75,177.5
2026-05-22 14:25:00,15.832423,-8.75,177.5
2026-05-22 14:35:00,15.426741,-8.75,177.5
2026-05-22 14:45:00,14.261844,-8.75,177.5
2026-05-22 14:55:00,13.116837,-8.75,177.5
2026-05-22 15:05:00,12.440961,-8.75,177.5
