datetime,TEC,latitude,longitude
2026-05-22 00:05:00,36.03219,-11.25,177.5
2026-05-22 00:15:00,36.278633,-11.25,177.5
2026-05-22 00:25:00,36.810577,-11.25,177.5
2026-05-22 00:35:00,37.12721,-11.25,177.5
2026-05-22 00:45:00,37.490303,-11.25,177.5
2026-05-22 00:55:00,37.770363,-11.25,177.5
2026-05-22 01:05:00,38.502625,-11.25,177.5
2026-05-22 01:15:00,39.697853,-11.25,177.5
2026-05-22 01:25:00,41.085697,-11.25,177.5
2026-05-22 01:35:00,42.257732,-11.25,177.5
2026-05-22 01:45:00,43.37243,-11.25,177.5
2026-05-22 01:55:00,43.73226,-11.25,177.5
2026-05-22 02:05:00,44.34197,-11.25,177.5
2026-05-22 02:15:00,44.568195,-11.25,177.5
2026-05-22 02:25:00,44.931538,-11.25,177.5
2026-05-22 02:35:00,45.067844,-11.25,177.5
2026-05-22 02:45:00,45.84273,-11.25,177.5
2026-05-22 02:55:00,46.192074,-11.25,177.5
2026-05-22 03:05:00,46.104156,-11.25,177.5
2026-05-22 03:15:00,46.361046,-11.25,177.5
2026-05-22 03:25:00,46.450855,-11.25,177.5
2026-05-22 03:35:00,46.37709,-11.25,177.5
2026-05-22 03:45:00,46.313625,-11.25,177.5
2026-05-22 03:55:00,46.296295,-11.25,177.5
2026-05-22 04:05:00,46.762764,-11.25,177.5
2026-05-22 04:15:00,47.69494,-11.25,177.5
2026-05-22 04:25:00,47.83935,-11.25,177.5
2026-05-22 04:35:00,46.79553,-11.25,177.5
2026-05-22 04:45:00,45.99421,-11.25,177.5
2026-05-22 04:55:00,45.267624,-11.25,177.5
2026-05-22 05:05:00,44.56875,-11.25,177.5
2026-05-22 05:15:00,45.108303,-11.25,177.5
2026-05-22 05:25:00,44.44452,-11.25,177.5
2026-05-22 05:35:00,42.600952,-11.25,177.5
2026-05-22 05:45:00,41.899395,-11.25,177.5
2026-05-22 05:55:00,41.682766,-11.25,177.5
2026-05-22 06:05:00,41.403713,-11.25,177.5
2026-05-22 06:15:00,40.736607,-11.25,177.5
2026-05-22 06:25:00,40.394226,-11.25,177.5
2026-05-22 06:35:00,39.859627,-11.25,177.5
2026-05-22 06:45:00,39.338463,-11.25,177.5
2026-05-22 06:55:00,38.859917,-11.25,177.5
2026-05-22 07:05:00,38.314217,-11.25,177.5
2026-05-22 07:15:00,37.668392,-11.25,177.5
2026-05-22 07:25:00,37.270542,-11.25,177.5
2026-05-22 07:35:00,36.951584,-11.25,177.5
2026-05-22 07:45:00,36.08469,-11.25,177.5
2026-05-22 07:55:00,35.44241,-11.25,177.5
2026-05-22 08:05:00,33.90409,-11.25,177.5
2026-05-22 08:15:00,33.084854,-11.25,177.5
2026-05-22 08:25:00,32.037895,-11.25,177.5
2026-05-22 08:35:00,31.396263,-11.25,177.5
2026-05-22 08:45:00,30.621435,-11.25,177.5
2026-05-22 08:55:00,29.85126,-11.25,177.5
2026-05-22 09:05:00,29.450962,-11.25,177.5
2026-05-22 09:15:00,28.899914,-11.25,177.5
2026-05-22 09:25:00,28.609076,-11.25,177.5
2026-05-22 09:35:00,28.222555,-11.25,177.5
2026-05-22 09:45:00,27.50769,-11.25,177.5
2026-05-22 09:55:00,27.399258,-11.25,177.5
2026-05-22 10:05:00,27.122522,-11.25,177.5
2026-05-22 10:15:00,27.043537,-11.25,177.5
2026-05-22 10:25:00,26.826052,-11.25,177.5
2026-05-22 10:35:00,26.526903,-11.25,177.5
2026-05-22 10:45:00,25.45381,-11.25,177.5
2026-05-22 10:55:00,23.399137,-11.25,177.5
2026-05-22 11:05:00,22.40787,-11.25,177.5
2026-05-22 11:15:00,21.726816,-11.25,177.5
2026-05-22 11:25:00,20.816063,-11.25,177.5
2026-05-22 11:35:00,19.616655,-11.25,177.5
2026-05-22 11:45:00,18.692846,-11.25,177.5
2026-05-22 11:55:00,18.316452,-11.25,177.5
2026-05-22 12:05:00,17.97963,-11.25,177.5
2026-05-22 12:15:00,17.20245,-11.25,177.5
2026-05-22 12:25:00,16.342936,-11.25,177.5
2026-05-22 12:35:00,15.360893,-11.25,177.5
2026-05-22 12:45:00,14.281909,-11.25,177.5
2026-05-22 12:55:00,13.942121,-11.25,177.5
2026-05-22 13:05:00,14.930162,-11.25,177.5
2026-05-22 13:15:00,14.987374,-11.25,177.5
2026-05-22 13:25:00,14.631486,-11.25,177.5
2026-05-22 13:35:00,13.915471,-11.25,177.5
2026-05-22 13:45:00,14.237594,-11.25,177.5
2026-05-22 13:55:00,14.7702055,-11.25,177.5
2026-05-22 14:05:00,15.348306,-11.25,177.5
2026-05-22 14:15:00,14.536472,-11.25,177.5
2026-05-22 14:25:00,13.824677,-11.25,177.5
2026-05-22 14:35:00,13.318378,-11.25,177.5
2026-05-22 14:45:00,12.440808,-11.25,177.5
2026-05-22 14:55:00,11.620819,-11.25,177.5
2026-05-22 15:05:00,11.172736,-11.25,177.5
