datetime,TEC,latitude,longitude
2026-05-22 00:05:00,45.710236,-6.25,177.5
2026-05-22 00:15:00,46.165764,-6.25,177.5
2026-05-22 00:25:00,46.646633,-6.25,177.5
2026-05-22 00:35:00,46.558685,-6.25,177.5
2026-05-22 00:45:00,47.100445,-6.25,177.5
2026-05-22 00:55:00,47.88727,-6.25,177.5
2026-05-22 01:05:00,49.22167,-6.25,177.5
2026-05-22 01:15:00,51.15239,-6.25,177.5
2026-05-22 01:25:00,52.3761,-6.25,177.5
2026-05-22 01:35:00,53.76473,-6.25,177.5
2026-05-22 01:45:00,54.908463,-6.25,177.5
2026-05-22 01:55:00,54.756157,-6.25,177.5
2026-05-22 02:05:00,54.83589,-6.25,177.5
2026-05-22 02:15:00,55.031437,-6.25,177.5
2026-05-22 02:25:00,55.34991,-6.25,177.5
2026-05-22 02:35:00,55.895214,-6.25,177.5
2026-05-22 02:45:00,57.056168,-6.25,177.5
2026-05-22 02:55:00,58.686153,-6.25,177.5
2026-05-22 03:05:00,58.494244,-6.25,177.5
2026-05-22 03:15:00,58.240955,-6.25,177.5
2026-05-22 03:25:00,58.195515,-6.25,177.5
2026-05-22 03:35:00,58.061768,-6.25,177.5
2026-05-22 03:45:00,58.1592,-6.25,177.5
2026-05-22 03:55:00,57.741627,-6.25,177.5
2026-05-22 04:05:00,57.373337,-6.25,177.5
2026-05-22 04:15:00,57.890404,-6.25,177.5
2026-05-22 04:25:00,59.12754,-6.25,177.5
2026-05-22 04:35:00,58.788425,-6.25,177.5
2026-05-22 04:45:00,56.978725,-6.25,177.5
2026-05-22 04:55:00,55.825226,-6.25,177.5
2026-05-22 05:05:00,54.845375,-6.25,177.5
2026-05-22 05:15:00,55.336067,-6.25,177.5
2026-05-22 05:25:00,55.138596,-6.25,177.5
2026-05-22 05:35:00,54.190563,-6.25,177.5
2026-05-22 05:45:00,53.15424,-6.25,177.5
2026-05-22 05:55:00,52.482998,-6.25,177.5
2026-05-22 06:05:00,52.361156,-6.25,177.5
2026-05-22 06:15:00,52.5181,-6.25,177.5
2026-05-22 06:25:00,51.71724,-6.25,177.5
2026-05-22 06:35:00,51.73715,-6.25,177.5
2026-05-22 06:45:00,51.34126,-6.25,177.5
2026-05-22 06:55:00,50.236137,-6.25,177.5
2026-05-22 07:05:00,48.93349,-6.25,177.5
2026-05-22 07:15:00,47.944305,-6.25,177.5
2026-05-22 07:25:00,47.83671,-6.25,177.5
2026-05-22 07:35:00,47.341206,-6.25,177.5
2026-05-22 07:45:00,45.865257,-6.25,177.5
2026-05-22 07:55:00,44.62079,-6.25,177.5
2026-05-22 08:05:00,44.641037,-6.25,177.5
2026-05-22 08:15:00,43.57364,-6.25,177.5
2026-05-22 08:25:00,42.820225,-6.25,177.5
2026-05-22 08:35:00,42.15025,-6.25,177.5
2026-05-22 08:45:00,41.28012,-6.25,177.5
2026-05-22 08:55:00,40.453014,-6.25,177.5
2026-05-22 09:05:00,40.126583,-6.25,177.5
2026-05-22 09:15:00,39.712215,-6.25,177.5
2026-05-22 09:25:00,39.16851,-6.25,177.5
2026-05-22 09:35:00,38.557415,-6.25,177.5
2026-05-22 09:45:00,37.743515,-6.25,177.5
2026-05-22 09:55:00,36.974255,-6.25,177.5
2026-05-22 10:05:00,36.546192,-6.25,177.5
2026-05-22 10:15:00,36.568363,-6.25,177.5
2026-05-22 10:25:00,36.506775,-6.25,177.5
2026-05-22 10:35:00,35.990017,-6.25,177.5
2026-05-22 10:45:00,34.950077,-6.25,177.5
2026-05-22 10:55:00,34.259304,-6.25,177.5
2026-05-22 11:05:00,34.108006,-6.25,177.5
2026-05-22 11:15:00,33.53086,-6.25,177.5
2026-05-22 11:25:00,32.426075,-6.25,177.5
2026-05-22 11:35:00,30.481113,-6.25,177.5
2026-05-22 11:45:00,28.18808,-6.25,177.5
2026-05-22 11:55:00,26.488308,-6.25,177.5
2026-05-22 12:05:00,25.484959,-6.25,177.5
2026-05-22 12:15:00,24.614216,-6.25,177.5
2026-05-22 12:25:00,23.868584,-6.25,177.5
2026-05-22 12:35:00,23.467495,-6.25,177.5
2026-05-22 12:45:00,22.811064,-6.25,177.5
2026-05-22 12:55:00,22.514101,-6.25,177.5
2026-05-22 13:05:00,23.160131,-6.25,177.5
2026-05-22 13:15:00,22.876143,-6.25,177.5
2026-05-22 13:25:00,22.08919,-6.25,177.5
2026-05-22 13:35:00,20.706444,-6.25,177.5
2026-05-22 13:45:00,20.344244,-6.25,177.5
2026-05-22 13:55:00,19.934013,-6.25,177.5
2026-05-22 14:05:00,19.405401,-6.25,177.5
2026-05-22 14:15:00,18.635008,-6.25,177.5
2026-05-22 14:25:00,18.516459,-6.25,177.5
2026-05-22 14:35:00,18.305182,-6.25,177.5
2026-05-22 14:45:00,16.921732,-6.25,177.5
2026-05-22 14:55:00,15.429842,-6.25,177.5
2026-05-22 15:05:00,14.437217,-6.25,177.5
