datetime,TEC,latitude,longitude
2026-05-22 00:05:00,45.875637,-3.75,177.5
2026-05-22 00:15:00,46.57216,-3.75,177.5
2026-05-22 00:25:00,46.968796,-3.75,177.5
2026-05-22 00:35:00,47.072422,-3.75,177.5
2026-05-22 00:45:00,47.827316,-3.75,177.5
2026-05-22 00:55:00,48.906822,-3.75,177.5
2026-05-22 01:05:00,50.528328,-3.75,177.5
2026-05-22 01:15:00,52.71496,-3.75,177.5
2026-05-22 01:25:00,53.853367,-3.75,177.5
2026-05-22 01:35:00,55.301445,-3.75,177.5
2026-05-22 01:45:00,56.297417,-3.75,177.5
2026-05-22 01:55:00,56.15781,-3.75,177.5
2026-05-22 02:05:00,55.717278,-3.75,177.5
2026-05-22 02:15:00,55.543774,-3.75,177.5
2026-05-22 02:25:00,55.71194,-3.75,177.5
2026-05-22 02:35:00,56.053276,-3.75,177.5
2026-05-22 02:45:00,57.046688,-3.75,177.5
2026-05-22 02:55:00,58.785603,-3.75,177.5
2026-05-22 03:05:00,59.036457,-3.75,177.5
2026-05-22 03:15:00,58.94908,-3.75,177.5
2026-05-22 03:25:00,58.21738,-3.75,177.5
2026-05-22 03:35:00,57.548252,-3.75,177.5
2026-05-22 03:45:00,57.31198,-3.75,177.5
2026-05-22 03:55:00,56.616787,-3.75,177.5
2026-05-22 04:05:00,55.839256,-3.75,177.5
2026-05-22 04:15:00,55.768154,-3.75,177.5
2026-05-22 04:25:00,56.413597,-3.75,177.5
2026-05-22 04:35:00,56.527393,-3.75,177.5
2026-05-22 04:45:00,55.597973,-3.75,177.5
2026-05-22 04:55:00,54.007492,-3.75,177.5
2026-05-22 05:05:00,52.84197,-3.75,177.5
2026-05-22 05:15:00,52.973812,-3.75,177.5
2026-05-22 05:25:00,52.602608,-3.75,177.5
2026-05-22 05:35:00,51.96173,-3.75,177.5
2026-05-22 05:45:00,51.416084,-3.75,177.5
2026-05-22 05:55:00,50.854927,-3.75,177.5
2026-05-22 06:05:00,50.59469,-3.75,177.5
2026-05-22 06:15:00,51.15112,-3.75,177.5
2026-05-22 06:25:00,50.12256,-3.75,177.5
2026-05-22 06:35:00,49.4001,-3.75,177.5
2026-05-22 06:45:00,48.69895,-3.75,177.5
2026-05-22 06:55:00,47.7463,-3.75,177.5
2026-05-22 07:05:00,46.624786,-3.75,177.5
2026-05-22 07:15:00,45.54652,-3.75,177.5
2026-05-22 07:25:00,45.218094,-3.75,177.5
2026-05-22 07:35:00,44.522243,-3.75,177.5
2026-05-22 07:45:00,42.93723,-3.75,177.5
2026-05-22 07:55:00,41.756344,-3.75,177.5
2026-05-22 08:05:00,42.675575,-3.75,177.5
2026-05-22 08:15:00,41.611385,-3.75,177.5
2026-05-22 08:25:00,41.139633,-3.75,177.5
2026-05-22 08:35:00,40.519917,-3.75,177.5
2026-05-22 08:45:00,39.62787,-3.75,177.5
2026-05-22 08:55:00,38.641315,-3.75,177.5
2026-05-22 09:05:00,38.12986,-3.75,177.5
2026-05-22 09:15:00,37.51202,-3.75,177.5
2026-05-22 09:25:00,36.84246,-3.75,177.5
2026-05-22 09:35:00,36.21434,-3.75,177.5
2026-05-22 09:45:00,35.583496,-3.75,177.5
2026-05-22 09:55:00,35.087624,-3.75,177.5
2026-05-22 10:05:00,34.779003,-3.75,177.5
2026-05-22 10:15:00,34.640827,-3.75,177.5
2026-05-22 10:25:00,34.051174,-3.75,177.5
2026-05-22 10:35:00,33.324608,-3.75,177.5
2026-05-22 10:45:00,32.84818,-3.75,177.5
2026-05-22 10:55:00,33.855038,-3.75,177.5
2026-05-22 11:05:00,34.169724,-3.75,177.5
2026-05-22 11:15:00,33.87261,-3.75,177.5
2026-05-22 11:25:00,32.974865,-3.75,177.5
2026-05-22 11:35:00,31.196262,-3.75,177.5
2026-05-22 11:45:00,28.782518,-3.75,177.5
2026-05-22 11:55:00,26.63942,-3.75,177.5
2026-05-22 12:05:00,25.2459,-3.75,177.5
2026-05-22 12:15:00,24.613026,-3.75,177.5
2026-05-22 12:25:00,24.283434,-3.75,177.5
2026-05-22 12:35:00,24.340841,-3.75,177.5
2026-05-22 12:45:00,23.98015,-3.75,177.5
2026-05-22 12:55:00,23.825348,-3.75,177.5
2026-05-22 13:05:00,24.426374,-3.75,177.5
2026-05-22 13:15:00,24.31934,-3.75,177.5
2026-05-22 13:25:00,23.686947,-3.75,177.5
2026-05-22 13:35:00,22.657429,-3.75,177.5
2026-05-22 13:45:00,22.070923,-3.75,177.5
2026-05-22 13:55:00,21.384666,-3.75,177.5
2026-05-22 14:05:00,20.620346,-3.75,177.5
2026-05-22 14:15:00,19.87808,-3.75,177.5
2026-05-22 14:25:00,19.821959,-3.75,177.5
2026-05-22 14:35:00,19.763817,-3.75,177.5
2026-05-22 14:45:00,18.482853,-3.75,177.5
2026-05-22 14:55:00,17.00129,-3.75,177.5
2026-05-22 15:05:00,15.857113,-3.75,177.5
