datetime,TEC,latitude,longitude
2026-05-22 00:05:00,22.686617,-18.75,177.5
2026-05-22 00:15:00,22.845835,-18.75,177.5
2026-05-22 00:25:00,23.015448,-18.75,177.5
2026-05-22 00:35:00,23.593203,-18.75,177.5
2026-05-22 00:45:00,24.021507,-18.75,177.5
2026-05-22 00:55:00,24.478956,-18.75,177.5
2026-05-22 01:05:00,24.891922,-18.75,177.5
2026-05-22 01:15:00,25.177681,-18.75,177.5
2026-05-22 01:25:00,25.809664,-18.75,177.5
2026-05-22 01:35:00,26.411692,-18.75,177.5
2026-05-22 01:45:00,26.960812,-18.75,177.5
2026-05-22 01:55:00,27.157635,-18.75,177.5
2026-05-22 02:05:00,27.54616,-18.75,177.5
2026-05-22 02:15:00,27.210085,-18.75,177.5
2026-05-22 02:25:00,26.951435,-18.75,177.5
2026-05-22 02:35:00,26.550837,-18.75,177.5
2026-05-22 02:45:00,26.20231,-18.75,177.5
2026-05-22 02:55:00,25.19283,-18.75,177.5
2026-05-22 03:05:00,24.677883,-18.75,177.5
2026-05-22 03:15:00,24.471783,-18.75,177.5
2026-05-22 03:25:00,24.704004,-18.75,177.5
2026-05-22 03:35:00,24.914257,-18.75,177.5
2026-05-22 03:45:00,24.638966,-18.75,177.5
2026-05-22 03:55:00,24.421219,-18.75,177.5
2026-05-22 04:05:00,23.818197,-18.75,177.5
2026-05-22 04:15:00,23.515755,-18.75,177.5
2026-05-22 04:25:00,23.469446,-18.75,177.5
2026-05-22 04:35:00,23.3105,-18.75,177.5
2026-05-22 04:45:00,23.58229,-18.75,177.5
2026-05-22 04:55:00,24.316618,-18.75,177.5
2026-05-22 05:05:00,23.295538,-18.75,177.5
2026-05-22 05:15:00,21.602129,-18.75,177.5
2026-05-22 05:25:00,20.913925,-18.75,177.5
2026-05-22 05:35:00,20.678373,-18.75,177.5
2026-05-22 05:45:00,20.479795,-18.75,177.5
2026-05-22 05:55:00,20.04799,-18.75,177.5
2026-05-22 06:05:00,19.475899,-18.75,177.5
2026-05-22 06:15:00,18.389273,-18.75,177.5
2026-05-22 06:25:00,18.109112,-18.75,177.5
2026-05-22 06:35:00,17.35561,-18.75,177.5
2026-05-22 06:45:00,16.559772,-18.75,177.5
2026-05-22 06:55:00,16.295256,-18.75,177.5
2026-05-22 07:05:00,16.131388,-18.75,177.5
2026-05-22 07:15:00,15.526294,-18.75,177.5
2026-05-22 07:25:00,14.673838,-18.75,177.5
2026-05-22 07:35:00,14.096555,-18.75,177.5
2026-05-22 07:45:00,13.689443,-18.75,177.5
2026-05-22 07:55:00,13.296082,-18.75,177.5
2026-05-22 08:05:00,12.179756,-18.75,177.5
2026-05-22 08:15:00,11.848303,-18.75,177.5
2026-05-22 08:25:00,11.608584,-18.75,177.5
2026-05-22 08:35:00,11.375384,-18.75,177.5
2026-05-22 08:45:00,11.069201,-18.75,177.5
2026-05-22 08:55:00,11.042022,-18.75,177.5
2026-05-22 09:05:00,10.992787,-18.75,177.5
2026-05-22 09:15:00,10.845462,-18.75,177.5
2026-05-22 09:25:00,10.818735,-18.75,177.5
2026-05-22 09:35:00,10.73644,-18.75,177.5
2026-05-22 09:45:00,10.468353,-18.75,177.5
2026-05-22 09:55:00,11.005224,-18.75,177.5
2026-05-22 10:05:00,11.478199,-18.75,177.5
2026-05-22 10:15:00,12.020764,-18.75,177.5
2026-05-22 10:25:00,11.7519245,-18.75,177.5
2026-05-22 10:35:00,11.046225,-18.75,177.5
2026-05-22 10:45:00,10.618616,-18.75,177.5
2026-05-22 10:55:00,9.317272,-18.75,177.5
2026-05-22 11:05:00,8.605906,-18.75,177.5
2026-05-22 11:15:00,8.499341,-18.75,177.5
2026-05-22 11:25:00,8.487838,-18.75,177.5
2026-05-22 11:35:00,8.311484,-18.75,177.5
2026-05-22 11:45:00,8.727648,-18.75,177.5
2026-05-22 11:55:00,9.751433,-18.75,177.5
2026-05-22 12:05:00,10.266054,-18.75,177.5
2026-05-22 12:15:00,9.752477,-18.75,177.5
2026-05-22 12:25:00,9.597706,-18.75,177.5
2026-05-22 12:35:00,9.381502,-18.75,177.5
2026-05-22 12:45:00,9.031221,-18.75,177.5
2026-05-22 12:55:00,8.957343,-18.75,177.5
2026-05-22 13:05:00,8.481151,-18.75,177.5
2026-05-22 13:15:00,8.495662,-18.75,177.5
2026-05-22 13:25:00,8.94069,-18.75,177.5
2026-05-22 13:35:00,9.293852,-18.75,177.5
2026-05-22 13:45:00,9.487821,-18.75,177.5
2026-05-22 13:55:00,9.585449,-18.75,177.5
2026-05-22 14:05:00,10.896296,-18.75,177.5
2026-05-22 14:15:00,10.482257,-18.75,177.5
2026-05-22 14:25:00,10.467242,-18.75,177.5
2026-05-22 14:35:00,10.46433,-18.75,177.5
2026-05-22 14:45:00,10.239731,-18.75,177.5
2026-05-22 14:55:00,9.882107,-18.75,177.5
2026-05-22 15:05:00,9.629274,-18.75,177.5
